Sample	Raw_Reads	Trimmed_Reads	Aligned_Reads	Variant_Sites
SRR2584863	1553259	1409359	2834370	33
SRR2584866	2768398	2590352	5197025	837
SRR2589044	1107090	1013314	2049325	52
